Date,Bat,Species,Sex,Band,Mass In (g),Mass Out (g),Ta (C),Ta Probe (C),Flow (mL/min),FiO2,FeO2,VO2 (mL/min),VO2 (mL/h),VO2 (mL/h/g)
26-Oct-16,1,MYCA,,UR0443,5.2,4.8,8,8,50,0.2095,0.2094313,0.00355,0.21279,0.04433
,,,,,,,,,,,,,,
26-Oct-16,2,MYCA,,WCS1035,6.1,5.6,8,8,50,0.2095,0.2094196,0.00415,0.24903,0.04447
,,,,,,,,,,,,,,
26-Oct-16,3,MYCA,,WCS0900,5.6,5.2,8,8,50,0.2095,0.2094318,0.00352,0.21124,0.04062
,,,,,,,,,,,,,,
7-Dec-15,2,MYCA,,,4.7,4.4,6,6,50,0.2095,0.2094088,0.00471,0.28258,0.06422
,,,,,,,,,,,,,,
8-Dec-15,1,MYCA,,,5,4.6,6,6,50,0.2095,0.2094508,0.00254,0.15238,0.03313
,,,,,,,,,,,,,,
8-Dec-15,2,MYCA,,UR0450,6,5.8,6,6,50,0.2095,0.2094518,0.00249,0.14936,0.02575
,,,,,,,,,,,,,,
8-Dec-15,3,MYCA,,UR0924,5.9,5.6,6,6,50,0.2095,0.2094567,0.00224,0.13424,0.02397
,,,,,,,,,,,,,,
8-Dec-15,4,MYCA,,UR0946,5.5,5.2,6,6,50,0.2095,0.2094694,0.00158,0.09487,0.01824
,,,,,,,,,,,,,,
9-Dec-15,2,MYCA,,WCS1057,5.1,4.9,6,6,50,0.2095,0.2094335,0.00343,0.20605,0.04205
,,,,,,,,,,,,,,
10-Dec-15,1,MYCA,,,5,4.6,6,6,50,0.2095,0.2094506,0.00255,0.15305,0.03327
,,,,,,,,,,,,,,
10-Dec-15,2,MYCA,,UR0916,5.9,5.6,6,6,50,0.2095,0.209436,0.00331,0.1983,0.03541
,,,,,,,,,,,,,,
10-Dec-15,3,MYCA,,WCS041,5.4,5,6,6,50,0.2095,0.2094425,0.00297,0.17811,0.03562
,,,,,,,,,,,,,,
10-Dec-15,4,MYCA,,UR0178,5.3,5,6,6,50,0.2095,0.2094385,0.00318,0.19063,0.03813
,,,,,,,,,,,,,,
20-Oct-16,3,MYCA,,UR0141,5.2,5,6,6,50,0.2095,0.2094232,0.00396,0.23788,0.04758
,,,,,,,,,,,,,,
20-Oct-16,4,MYCA,,UR0898,5.4,5.2,6,6,50,0.2095,0.2094637,0.00187,0.11243,0.02162
,,,,,,,,,,,,,,
22-Oct-16,1,MYCA,,WCS1015,5.7,5.4,6,6,50,0.2095,0.2094013,0.0051,0.30571,0.05661
,,,,,,,,,,,,,,
22-Oct-16,3,MYCA,,WCS1013,5.8,5.5,6,6,50,0.2095,0.2094128,0.0045,0.27009,0.04911
,,,,,,,,,,,,,,
25-Oct-16,1,MYCA,,WCS1002,5.7,5.3,6,6,50,0.2095,0.2094495,0.00261,0.15642,0.02951
,,,,,,,,,,,,,,
25-Oct-16,2,MYCA,,WCS1021,5.1,4.6,6,6,50,0.2095,0.2094699,0.00155,0.09323,0.02027
,,,,,,,,,,,,,,
